Paikka_Id,KuntaNimi,Nimi,lat,lon
908,Nurmes,"Valtimonjoki, Kuokkastenkoski",63.541748051593714,28.955043538905816
2697,Alajärvi,Kätkänjärvi,62.856579143981314,23.816132584922872
1339,Oulu,Pahkakoski,65.35737838967708,26.03824431680573
1171,Hämeenkyrö,Kyröskoski,61.66782256759573,23.189224784790234
3619,Imatra,"Vuoksi, Imatra",61.17065464681429,28.77727358381017
1338,Oulu,Haapakoski,65.33004374185495,26.205935919118204
1174,Sastamala,Hartolankoski,61.32858940171436,22.846333834209265
1225,Evijärvi,"Ähtävänjoki, Hanhikoski",63.332309478758106,23.567623672723023
1290,Kuhmo,Änättijärvi - luusua,64.39675376529655,29.852320193613878
3499,Alavus,Seinäjärvi,62.380916722041206,23.354590545326705
2692,Seinäjoki,Kyrkösjärven tekojärvi,62.77026437852054,22.818562260010037
3029,Kouvola,Verla,61.0630081777536,26.639819433165666
1336,Pudasjärvi,"Livojoki, Hanhikoski",65.51448087097866,26.901465485748005
1178,Sastamala,Äetsä,61.27906639554637,22.69552511959828
3524,Inkoo,Ingarskilaån,60.065599479023504,24.21092998478785
1044,Kangasniemi,Synsiä - luusua,62.05532972552447,26.468075482964696
1332,Pudasjärvi,Kurenalus,65.36403874018215,26.990905951685114
1180,Tammela,Liesjärvi - luusua,60.70628388915866,23.927023803807515
938,Kuopio,Pulkonkoski,63.12909718698192,27.174999559156927
986,Äänekoski,"Keitele, Äänekoski",62.61054827418421,25.731288543831766
3086,Siikalatva,Lämsänkosken ohijuoksutus,64.30356251642992,26.15551433961991
976,Virolahti,Salmen silta,60.61989478795672,27.63209917819741
982,Kannonkoski,"Kivijärvi, Potmonkoski",62.95442127001984,25.256211838578448
1101,Vihti,"Vanjoki, Jokikunta",60.43453000354922,24.203134568047986
2954,Porvoo,"Ilolanjoki, Ilolan silta",60.45475482352213,25.75433084316037
1018,Jyväskylä,"Leppävesi, Vaajakoski",62.24496323357385,25.88792907682421
1264,Pyhäntä,"Iso Lamujärvi, pato",64.06808599226596,26.237235071855984
3160,Kurikka,Niiles,62.58230058145715,22.46546823006768
1252,Ylivieska,Hamari,64.07558975708373,24.579218554793574
1269,Siikajoki,Länkelä,64.76918977595261,24.870077559941286
1259,Haapavesi,Haapakoski,64.14176687604129,25.30480212380711
